,path,index,x,y,v
61,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_61.png,61,708,211,244.0
62,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_62.png,62,729,231,53.0
63,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_63.png,63,826,276,36.0
64,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_64.png,64,735,283,169.0
65,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_65.png,65,400,196,37.0
66,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_66.png,66,400,202,39.0
67,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_67.png,67,754,354,68.0
68,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_68.png,68,756,378,51.0
69,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_69.png,69,757,404,253.0
70,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_70.png,70,826,269,36.0
71,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_71.png,71,400,202,36.0
72,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_72.png,72,760,477,65.0
73,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_73.png,73,827,284,37.0
74,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_74.png,74,825,284,37.0
75,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_75.png,75,400,200,36.0
76,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_76.png,76,772,647,82.0
77,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_77.png,77,788,541,142.0
78,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_78.png,78,796,527,94.0
79,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_79.png,79,790,714,43.0
80,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_80.png,80,402,199,35.0
81,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_81.png,81,400,198,36.0
82,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_82.png,82,785,423,136.0
83,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_83.png,83,783,396,252.0
84,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_84.png,84,826,271,36.0
85,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_85.png,85,770,345,203.0
86,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_86.png,86,764,319,251.0
87,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_87.png,87,757,294,250.0
88,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_88.png,88,752,268,76.0
89,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_89.png,89,743,242,51.0
90,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_90.png,90,733,219,161.0
91,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_91.png,91,826,270,38.0
92,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_92.png,92,705,174,242.0
93,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_93.png,93,689,153,249.0
94,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_94.png,94,682,141,252.0
95,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_95.png,95,400,199,38.0
96,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_96.png,96,713,183,250.0
97,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_97.png,97,726,206,219.0
98,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_98.png,98,739,229,244.0
99,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_99.png,99,751,253,121.0
100,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_100.png,100,753,286,244.0
101,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_101.png,101,825,268,39.0
102,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_102.png,102,771,336,105.0
103,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_103.png,103,777,362,173.0
104,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_104.png,104,781,390,112.0
105,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_105.png,105,786,416,218.0
106,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_106.png,106,788,443,48.0
107,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_107.png,107,825,269,41.0
108,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_108.png,108,400,200,37.0
109,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_109.png,109,788,517,52.0
110,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_110.png,110,775,518,241.0
111,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_111.png,111,757,514,87.0
112,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_112.png,112,739,499,42.0
113,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_113.png,113,740,473,249.0
114,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_114.png,114,743,445,253.0
115,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_115.png,115,400,200,36.0
116,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_116.png,116,741,387,200.0
117,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_117.png,117,733,360,219.0
118,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_118.png,118,729,331,252.0
119,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_119.png,119,727,303,250.0
120,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_120.png,120,721,276,224.0
121,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_121.png,121,826,267,36.0
122,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_122.png,122,707,227,189.0
123,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_123.png,123,697,205,218.0
124,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_124.png,124,828,243,35.0
125,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_125.png,125,677,163,174.0
126,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_126.png,126,671,140,251.0
127,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_127.png,127,667,149,252.0
128,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_128.png,128,400,198,37.0
129,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_129.png,129,667,194,135.0
130,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_130.png,130,668,217,254.0
131,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_131.png,131,400,197,37.0
132,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_132.png,132,670,268,250.0
133,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_133.png,133,670,295,242.0
134,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_134.png,134,673,322,249.0
135,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_135.png,135,674,349,254.0
136,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_136.png,136,678,378,253.0
137,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_137.png,137,677,407,249.0
138,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_138.png,138,673,437,251.0
139,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_139.png,139,400,198,38.0
140,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_140.png,140,676,498,253.0
141,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_141.png,141,400,199,38.0
142,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_142.png,142,647,546,244.0
143,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_143.png,143,626,566,248.0
144,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_144.png,144,599,701,83.0
145,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_145.png,145,589,549,253.0
146,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_146.png,146,587,523,242.0
147,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_147.png,147,587,493,223.0
148,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_148.png,148,589,465,171.0
149,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_149.png,149,591,435,251.0
150,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_150.png,150,595,406,219.0
151,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_151.png,151,601,377,238.0
152,/Users/sverre/Projects/misc/leds/juletre/data/calibration/tree1/3/img_152.png,152,602,349,252.0
